,accuracy,weighted_precision,weighted_recall,weighted_f1,timestamp
minmax_neg11_no_pca_svm_poly,0.7676825761932144,0.7757285066944938,0.7676825761932144,0.7661820800118672,2025-09-18T06:21:33.644448
minmax_neg11_no_pca_random_forest,0.8004600345025877,0.8030941625459317,0.8004600345025877,0.8001155039248429,2025-09-18T06:21:35.043168
minmax_neg11_no_pca_gradient_boosting,0.7998849913743531,0.8003382042617747,0.7998849913743531,0.7997681695393665,2025-09-18T06:21:37.198338
minmax_neg11_no_pca_decision_tree,0.7556066705002875,0.7557401182072994,0.7556066705002875,0.7556011750739033,2025-09-18T06:21:37.363482
minmax_neg11_no_pca_xgboost_impute,0.8073605520414031,0.8078029362984163,0.8073605520414031,0.8073250030902133,2025-09-18T06:21:38.937470
minmax_neg11_no_pca_xgboost_native,0.8073605520414031,0.8078029362984163,0.8073605520414031,0.8073250030902133,2025-09-18T06:21:40.041234
minmax_neg11_pca_0.95_logistic,0.7153536515238643,0.7229878026529265,0.7153536515238643,0.7132109742958871,2025-09-18T06:21:40.178884
minmax_neg11_pca_0.95_svm_linear,0.7130534790109259,0.7373613640187324,0.7130534790109259,0.7060581625739301,2025-09-18T06:21:49.451796
minmax_neg11_pca_0.95_svm_rbf,0.7343300747556066,0.7431153571402053,0.7343300747556066,0.7321938617134373,2025-09-18T06:21:53.493079
minmax_neg11_pca_0.95_svm_poly,0.7285796434732605,0.7376019449285794,0.7285796434732605,0.7262823439606562,2025-09-18T06:21:56.642880
minmax_neg11_pca_0.95_random_forest,0.7280046003450259,0.7312283942531211,0.7280046003450259,0.7272369570123844,2025-09-18T06:22:00.546142
minmax_neg11_pca_0.95_gradient_boosting,0.7429557216791259,0.7523825572195952,0.7429557216791259,0.740807559739261,2025-09-18T06:22:07.943215
minmax_neg11_pca_0.95_decision_tree,0.6940770557791834,0.6941641991079973,0.6940770557791834,0.694075639525457,2025-09-18T06:22:08.395464
minmax_neg11_pca_0.95_xgboost_impute,0.723404255319149,0.7263273068063164,0.723404255319149,0.7226901693533102,2025-09-18T06:22:09.060847
minmax_neg11_pca_0.95_xgboost_native,0.723404255319149,0.7263273068063164,0.723404255319149,0.7226901693533102,2025-09-18T06:22:09.684689
minmax_neg11_pca_0.98_logistic,0.7136285221391604,0.7209188141560249,0.7136285221391604,0.7115586907441088,2025-09-18T06:22:09.978824
minmax_neg11_pca_0.98_svm_linear,0.7130534790109259,0.7373613640187324,0.7130534790109259,0.7060581625739301,2025-09-18T06:22:25.061323
minmax_neg11_pca_0.98_svm_rbf,0.7343300747556066,0.7422607758945189,0.7343300747556066,0.7324098697264623,2025-09-18T06:22:27.961312
minmax_neg11_pca_0.98_svm_poly,0.7297297297297297,0.7371163924156835,0.7297297297297297,0.7278816753074677,2025-09-18T06:22:31.344132
minmax_neg11_pca_0.98_random_forest,0.726279470960322,0.728715843348253,0.726279470960322,0.7257102308532491,2025-09-18T06:22:36.696859
minmax_neg11_pca_0.98_gradient_boosting,0.7429557216791259,0.7517003262385326,0.7429557216791259,0.7409685710393272,2025-09-18T06:22:45.872803
minmax_neg11_pca_0.98_decision_tree,0.6848763657274296,0.6849351798464139,0.6848763657274296,0.6847960966085482,2025-09-18T06:22:46.384265
minmax_neg11_pca_0.98_xgboost_impute,0.718803910293272,0.721559135150401,0.718803910293272,0.7181106391434812,2025-09-18T06:22:47.153800
minmax_neg11_pca_0.98_xgboost_native,0.718803910293272,0.721559135150401,0.718803910293272,0.7181106391434812,2025-09-18T06:22:47.898181
minmax_02_no_pca_logistic,0.7717078780908568,0.7735639420168408,0.7717078780908568,0.7714158803619514,2025-09-18T06:22:48.107291
minmax_02_no_pca_svm_linear,0.7573317998849913,0.7662028229971353,0.7573317998849913,0.7555295251332323,2025-09-18T06:22:50.473156
minmax_02_no_pca_svm_rbf,0.7699827487061529,0.7762082591934235,0.7699827487061529,0.768858215032773,2025-09-18T06:22:53.057658
minmax_02_no_pca_svm_poly,0.7832087406555491,0.7868038150704254,0.7832087406555491,0.7826490516552972,2025-09-18T06:22:55.297208
minmax_02_no_pca_random_forest,0.8004600345025877,0.8027163080354569,0.8004600345025877,0.8001706853972915,2025-09-18T06:22:57.310947
minmax_02_no_pca_gradient_boosting,0.7998849913743531,0.8003382042617747,0.7998849913743531,0.7997681695393665,2025-09-18T06:22:59.666003
minmax_02_no_pca_decision_tree,0.753306497987349,0.7534137084123903,0.753306497987349,0.753304050725864,2025-09-18T06:22:59.821692
minmax_02_no_pca_xgboost_impute,0.8073605520414031,0.8078029362984163,0.8073605520414031,0.8073250030902133,2025-09-18T06:23:00.125505
minmax_02_no_pca_xgboost_native,0.8073605520414031,0.8078029362984163,0.8073605520414031,0.8073250030902133,2025-09-18T06:23:00.447034
minmax_02_pca_0.95_logistic,0.7153536515238643,0.7229878026529265,0.7153536515238643,0.7132109742958871,2025-09-18T06:23:00.680287
minmax_02_pca_0.95_svm_linear,0.7130534790109259,0.7373613640187324,0.7130534790109259,0.7060581625739301,2025-09-18T06:23:11.304546
minmax_02_pca_0.95_svm_rbf,0.7343300747556066,0.7431153571402053,0.7343300747556066,0.7321938617134373,2025-09-18T06:23:14.331524
minmax_02_pca_0.95_svm_poly,0.7285796434732605,0.7376019449285794,0.7285796434732605,0.7262823439606562,2025-09-18T06:23:17.367451
minmax_02_pca_0.95_random_forest,0.7320299022426682,0.7356343184553295,0.7320299022426682,0.7311889859456578,2025-09-18T06:23:21.437848
minmax_02_pca_0.95_gradient_boosting,0.7429557216791259,0.7523825572195952,0.7429557216791259,0.740807559739261,2025-09-18T06:23:28.977534
minmax_02_pca_0.95_decision_tree,0.6877515813686026,0.6877457620179518,0.6877515813686026,0.6877466248232229,2025-09-18T06:23:29.393063
minmax_02_pca_0.95_xgboost_impute,0.7297297297297297,0.7324250068897347,0.7297297297297297,0.7291091684887706,2025-09-18T06:23:30.046226
minmax_02_pca_0.95_xgboost_native,0.7297297297297297,0.7324250068897347,0.7297297297297297,0.7291091684887706,2025-09-18T06:23:30.698901
minmax_02_pca_0.98_logistic,0.7136285221391604,0.7209188141560249,0.7136285221391604,0.7115586907441088,2025-09-18T06:23:30.935925
minmax_02_pca_0.98_svm_linear,0.7130534790109259,0.7373613640187324,0.7130534790109259,0.7060581625739301,2025-09-18T06:23:43.816573
minmax_02_pca_0.98_svm_rbf,0.7343300747556066,0.7422607758945189,0.7343300747556066,0.7324098697264623,2025-09-18T06:23:46.829805
minmax_02_pca_0.98_svm_poly,0.7297297297297297,0.7371163924156835,0.7297297297297297,0.7278816753074677,2025-09-18T06:23:50.842276
minmax_02_pca_0.98_random_forest,0.7337550316273721,0.737049275577165,0.7337550316273721,0.7330036175406638,2025-09-18T06:23:55.912652
minmax_02_pca_0.98_gradient_boosting,0.7423806785508913,0.7512177464708685,0.7423806785508913,0.7403626328476659,2025-09-18T06:24:05.330230
minmax_02_pca_0.98_decision_tree,0.6894767107533065,0.6895570934208622,0.6894767107533065,0.6893854876953609,2025-09-18T06:24:05.878951
minmax_02_pca_0.98_xgboost_impute,0.7090281771132835,0.7113072258747026,0.7090281771132835,0.7084230605288739,2025-09-18T06:24:06.736510
minmax_02_pca_0.98_xgboost_native,0.7090281771132835,0.7113072258747026,0.7090281771132835,0.7084230605288739,2025-09-18T06:24:07.518964
